Strategy,Condition,Variable,N,Mean,Std,Min,Max,Median,Q25,Q75
Anisohydric,Baseline,GPP,24542,6.379,7.368,0.000,52.698,3.389,0.805,9.765
Anisohydric,Baseline,ET_mm,24542,1.974,2.180,0.000,18.913,1.167,0.422,2.778
Anisohydric,Baseline,VPD,24542,5.241,3.977,0.000,18.637,4.355,1.989,7.722
Anisohydric,Baseline,SWC,12038,26.631,13.843,6.925,61.217,20.125,14.096,39.262
Anisohydric,Stressed,GPP,8040,13.000,8.859,0.004,53.672,12.025,5.396,19.633
Anisohydric,Stressed,ET_mm,8040,4.713,3.346,0.000,23.262,4.114,2.001,6.860
Anisohydric,Stressed,VPD,8040,13.603,7.319,0.000,59.113,13.218,8.475,18.044
Anisohydric,Stressed,SWC,5896,17.368,12.153,1.534,56.459,13.984,6.433,26.783
Isohydric,Baseline,GPP,26781,6.438,6.469,0.000,60.338,4.268,1.124,10.190
Isohydric,Baseline,ET_mm,26781,1.899,2.004,0.000,24.270,1.265,0.456,2.699
Isohydric,Baseline,VPD,26781,3.565,2.752,0.000,11.809,2.862,1.325,5.347
Isohydric,Baseline,SWC,19558,16.067,6.642,5.268,40.833,13.747,10.997,21.738
Isohydric,Stressed,GPP,10362,13.048,7.101,0.004,52.158,12.535,8.125,17.267
Isohydric,Stressed,ET_mm,10362,3.945,2.498,0.001,27.166,3.502,2.170,5.233
Isohydric,Stressed,VPD,10362,10.391,5.558,0.000,45.872,10.415,6.345,13.679
Isohydric,Stressed,SWC,9214,9.447,5.849,0.000,38.344,7.695,6.538,10.256
